kategoria,nazwa,cena,opis,zdjecie,zdjecie2,zdjecie3,zdjecie_jpg,zdjecie2_jpg,zdjecie3_jpg
Akcesoria-Inne,Pojemnik na 9 kostek z uchwytem,"14,99 zł","Pojemnik na kostki o rozmiarze 295x180x85 mm to dobra opcja do przechowywania kostek. Pomieści w sobie wiele układanek, jak i akcesori&oacute;w takich jak np. mata lub timer. Dzięki wygodnemu uchwytowi i przeźroczystemu plastiku, z kt&oacute;rego wykonany jest pojemnik sprawuje się on idealnie w podr&oacute;ży.",https://strefa-kostek.pl/29813-home_default/pojemnik-na-9-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/19271-thickbox_default/pojemnik-na-9-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/29813-thickbox_default/pojemnik-na-9-kostek-z-uchwytem.jpg,Akcesoria_Inne-images\image_9_1.jpg,Akcesoria_Inne-images\image_9_2.jpg,Akcesoria_Inne-images\image_9_3.jpg
Akcesoria-Inne,Pojemnik na 16 kostek z uchwytem,"21,99 zł","Pojemnik na kostki o rozmiarze 359x238x85 mm to dobra opcja do przechowywania kostek. Pomieści w sobie dużo układanek jak i akcesori&oacute;w takich jak np. mata lub timer. Dzięki wygodnemu uchwytowi i przeźroczystemu plastiku, z kt&oacute;rego wykonany jest pojemnik sprawuje się on idealnie w podr&oacute;ży.",https://strefa-kostek.pl/29814-home_default/pojemnik-na-16-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/19273-thickbox_default/pojemnik-na-16-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/29814-thickbox_default/pojemnik-na-16-kostek-z-uchwytem.jpg,Akcesoria_Inne-images\image_10_1.jpg,Akcesoria_Inne-images\image_10_2.jpg,Akcesoria_Inne-images\image_10_3.jpg
Akcesoria-Inne,Pojemnik na 22 kostki z uchwytem,"27,99 zł","Pojemnik na kostki o rozmiarze 400x298x85 mm to dobra opcja do przechowywania kostek. Pomieści w sobie bardzo dużo r&oacute;żnych układanek, jak i akcesori&oacute;w takich jak np. mata, timer lub smary. Dzięki wygodnemu uchwytowi i przeźroczystemu plastiku, z kt&oacute;rego wykonany jest pojemnik sprawuje się on idealnie w podr&oacute;ży.",https://strefa-kostek.pl/29815-home_default/pojemnik-na-22-kostki-z-uchwytem.jpg,https://strefa-kostek.pl/19275-thickbox_default/pojemnik-na-22-kostki-z-uchwytem.jpg,https://strefa-kostek.pl/29815-thickbox_default/pojemnik-na-22-kostki-z-uchwytem.jpg,Akcesoria_Inne-images\image_11_1.jpg,Akcesoria_Inne-images\image_11_2.jpg,Akcesoria_Inne-images\image_11_3.jpg
Akcesoria-Inne,Nauszniki przeciwhałasowe HS2018,"18,99 zł",Przeciwhałasowe nauszniki. Zapewniają wyciszenie odtoczenia oraz zabezpieczenie błon bembenkowych.,https://strefa-kostek.pl/19278-home_default/nauszniki-przeciwhalasowe-hs2018.jpg,https://strefa-kostek.pl/19278-thickbox_default/nauszniki-przeciwhalasowe-hs2018.jpg,,Akcesoria_Inne-images\image_12_1.jpg,Akcesoria_Inne-images\image_12_2.jpg,
Akcesoria-Inne,Klej CA Joker 20g,"9,99 zł",Klej cyjanoakrylowy o średniej gęstości.,https://strefa-kostek.pl/19453-home_default/klej-ca-joker-20g.jpg,https://strefa-kostek.pl/19453-thickbox_default/klej-ca-joker-20g.jpg,,Akcesoria_Inne-images\image_13_1.jpg,Akcesoria_Inne-images\image_13_2.jpg,
Akcesoria-Inne,Logo producenta na kostkę,"1,99 zł",,https://strefa-kostek.pl/19569-home_default/logo-producenta-na-kostke.jpg,https://strefa-kostek.pl/19569-thickbox_default/logo-producenta-na-kostke.jpg,https://strefa-kostek.pl/19557-thickbox_default/logo-producenta-na-kostke.jpg,Akcesoria_Inne-images\image_14_1.jpg,Akcesoria_Inne-images\image_14_2.jpg,Akcesoria_Inne-images\image_14_3.jpg
Akcesoria-Inne,QiYi Timer Data Cord,"7,99 zł","Kabel minijack-minijack o długości 1,5m.",https://strefa-kostek.pl/26236-home_default/qiyi-timer-data-cord.jpg,https://strefa-kostek.pl/26236-thickbox_default/qiyi-timer-data-cord.jpg,,Akcesoria_Inne-images\image_15_1.jpg,Akcesoria_Inne-images\image_15_2.jpg,
Akcesoria-Inne,Z pp-box for 5.7cm cube,"2,99 zł","Małe, plastikowe pudełko, kt&oacute;re zabezpieczy twoje kostki przez brudem i zarysowaniem.",https://strefa-kostek.pl/30162-home_default/z-pp-box-for-57cm-cube.jpg,https://strefa-kostek.pl/30162-thickbox_default/z-pp-box-for-57cm-cube.jpg,https://strefa-kostek.pl/30166-thickbox_default/z-pp-box-for-57cm-cube.jpg,Akcesoria_Inne-images\image_16_1.jpg,Akcesoria_Inne-images\image_16_2.jpg,Akcesoria_Inne-images\image_16_3.jpg
Akcesoria-Inne,Uchwyty do timera,"4,99 zł","W zestawie znajdziemy:  
 dwa moduły g&oacute;rne 
 dwa moduły dolne 
 dwie śrubki 
 Uchwyty będą kompatybilne z prawie wszystkimi timerami poza Speed Stacks Gen 5 oraz stoperami od firmy GAN.",https://strefa-kostek.pl/31225-home_default/uchwyty-do-timera.jpg,https://strefa-kostek.pl/31226-thickbox_default/uchwyty-do-timera.jpg,https://strefa-kostek.pl/31225-thickbox_default/uchwyty-do-timera.jpg,Akcesoria_Inne-images\image_17_1.jpg,Akcesoria_Inne-images\image_17_2.jpg,Akcesoria_Inne-images\image_17_3.jpg
Akcesoria-Inne,Baterie AAA do Timera,"2,00 zł","2 sztuki baterii AAA marki KODAK, kt&oacute;re zasilą większość timer&oacute;w do speedcubingu. Nadadzą się r&oacute;wnież do wielu innych urządzeń.&nbsp;  Lista timer&oacute;w, kt&oacute;re zasilane są tego rodzaju bateriami: 
 
 Speed Stacks Timer Gen4 
 Speed Stacks Timer Gen5 
 QiYi SpeedCubing Timer 
 YJ SpeedCubing Timer 
 GAN Timer (zasilany 4 bateriami) 
 Z-Timer",https://strefa-kostek.pl/28511-home_default/baterie-aaa-do-timera.jpg,https://strefa-kostek.pl/28511-thickbox_default/baterie-aaa-do-timera.jpg,,Akcesoria_Inne-images\image_18_1.jpg,Akcesoria_Inne-images\image_18_2.jpg,
